,Minimization,optim,Optimizer,training_accuracy,Validation accuracy,training_loss,val_loss,Generalization gap,epoch,Sharpness,Architecture
0,standard,SGD 0.1,SGD,99.9939956665039,79.29999542236328,0.0007799433587747805,1.399267578125,20.694000244140625,50.0,42816.281277024,SimpleBatch
1,standard,Adagrad,Adagrad,99.9959945678711,75.36000061035156,0.0031675248836462513,1.2736817598342896,24.63599395751953,50.0,89803.49818993996,SimpleBatch
2,standard,AdaBound,AdaBound,100.0,78.79000091552734,0.00021385035158236673,1.5599297285079956,21.209999084472656,50.0,46590.135649615004,SimpleBatch
3,standard,AdaShift 0.001,AdaShift,99.45999908447266,71.58999633789062,0.019314679784624054,1.6197795748710633,27.87000274658203,50.0,467108.8588641778,SimpleBatch
4,standard,PHB 0.01 0.8,PHB,99.79999542236328,76.61000061035156,0.009144575649496082,1.3381480932235719,23.18999481201172,50.0,134372.45335771763,SimpleBatch
5,standard,SGD 0.1,SGD,100.0,79.73999786376953,6.378259356662496e-05,1.4773741245269776,20.26000213623047,100.0,45652.3390811811,SimpleBatch
6,standard,Adagrad,Adagrad,99.99800109863281,74.97999572753906,0.0010569208615567878,1.424701988697052,25.01800537109375,100.0,110226.77188264951,SimpleBatch
7,standard,AdaBound,AdaBound,100.0,78.8699951171875,7.040043172663669e-05,1.660810899734497,21.1300048828125,100.0,51074.04187597477,SimpleBatch
8,SAM,AdaBound,AdaBound,99.68199920654297,78.70999908447266,0.00887044038384786,1.2513939261436462,20.972000122070312,100.0,14829.140828128844,SimpleBatch
9,SAM,SGD 0.1,SGD,99.6719970703125,79.3699951171875,0.009269431482649484,1.1419099807739257,20.302001953125,100.0,14850.759467143267,SimpleBatch
10,standard,AdaShift 0.01,AdaShift,99.593994140625,76.61000061035156,0.01221542854924672,2.136920213699341,22.983993530273438,100.0,99015.54760884457,SimpleBatch
11,standard,PHB 0.01 0.8,PHB,100.0,76.93000030517578,0.00016631796093777602,1.529420256614685,23.06999969482422,100.0,169976.6833276835,SimpleBatch
12,standard,SGD 0.1,SGD,100.0,79.6199951171875,4.737759747718032e-05,1.532622230052948,20.3800048828125,150.0,47899.30885278329,SimpleBatch
13,standard,Adam,Adam,99.6919937133789,76.19999694824219,0.010102731381936403,2.927628254890442,23.49199676513672,150.0,85274.34358178618,SimpleBatch
14,standard,Adagrad,Adagrad,99.93000030517578,74.6199951171875,0.005203105231789905,1.475679087638855,25.31000518798828,150.0,134008.13730424043,SimpleBatch
15,standard,AdaBound,AdaBound,100.0,78.68999481201172,0.00014287150450241904,1.7120226263999938,21.31000518798828,150.0,52027.55541672307,SimpleBatch
16,SAM,AdaBound,AdaBound,99.79000091552734,79.1199951171875,0.0059259960300523115,1.35451340675354,20.670005798339844,150.0,16688.9075497131,SimpleBatch
17,SAM,SGD 0.1,SGD,99.78399658203125,79.75,0.006437614205931409,1.2030699133872986,20.03399658203125,150.0,16656.49552222682,SimpleBatch
18,SAM,PHB 0.01 0.8,PHB,99.71199798583984,79.45999908447266,0.008406425363120987,1.1404151439666748,20.251998901367188,150.0,29704.92257720828,SimpleBatch
19,standard,AdaShift 0.01,AdaShift,99.81800079345703,77.47999572753906,0.005952311677547163,2.2282527565956114,22.33800506591797,150.0,91735.74788768889,SimpleBatch
20,standard,PHB 0.01 0.8,PHB,100.0,77.11000061035156,0.00013180605520292862,1.5794624924659728,22.889999389648438,150.0,151918.54108335517,SimpleBatch
21,SAM,AdaShift 0.01,AdaShift,99.61000061035156,78.20999908447266,0.010427732539312293,1.4363483786582947,21.400001525878906,150.0,27490.104654160798,SimpleBatch
22,standard,SGD 0.1,SGD,99.99800109863281,79.20999908447266,0.00037698410126134097,1.534429657459259,20.788002014160156,200.0,42853.32931748071,SimpleBatch
23,SAM,Adagrad,Adagrad,99.78399658203125,76.38999938964844,0.007756443657612195,1.184240174293518,23.393997192382812,200.0,15788.708123962846,SimpleBatch
24,standard,Adam,Adam,99.7719955444336,77.06999969482422,0.007975501911356214,3.1468207597732545,22.701995849609375,200.0,90778.62166631197,SimpleBatch
25,standard,Adagrad,Adagrad,100.0,74.68000030517578,0.00038518562614905846,1.560817813873291,25.31999969482422,200.0,132652.13631921774,SimpleBatch
26,standard,AdaBound,AdaBound,100.0,78.75999450683594,5.321391771551479e-05,1.800798809528351,21.240005493164062,200.0,55907.23384645309,SimpleBatch
27,SAM,Adam,Adam,99.62799835205078,77.54999542236328,0.010071635594899432,1.8822556853294372,22.0780029296875,200.0,21864.985911038955,SimpleBatch
28,SAM,AdaBound,AdaBound,99.8479995727539,79.15999603271484,0.003913575657763961,1.4197904944419861,20.688003540039062,200.0,17388.182252153012,SimpleBatch
29,SAM,SGD 0.1,SGD,99.80199432373047,79.8499984741211,0.004835606154325047,1.2799837589263916,19.951995849609375,200.0,17260.82206223009,SimpleBatch
30,SAM,PHB 0.01 0.8,PHB,99.78799438476562,79.2699966430664,0.005541950646277858,1.2016721487045288,20.51799774169922,200.0,15544.810528052078,SimpleBatch
31,standard,AdaShift 0.01,AdaShift,99.76799774169922,77.25999450683594,0.007568768094603476,2.6145278215408325,22.50800323486328,200.0,77081.27420000041,SimpleBatch
