,Minimization,optim,Optimizer,training_accuracy,Validation accuracy,training_loss,val_loss,Generalization gap,epoch,Sharpness,Architecture
0,standard,Adam,Adam,99.51333618164062,91.97999572753906,0.014861871573733596,0.7295698404312134,7.5333404541015625,50.0,40364.594347033824,SimpleBatch
1,standard,SGD 0.1,SGD,100.0,92.7699966430664,4.978572213615508e-05,0.5165812402963639,7.230003356933594,50.0,37819.34618037219,SimpleBatch
2,standard,AdaBound,AdaBound,100.0,92.72000122070312,5.4510213408757176e-05,0.5373874396085739,7.279998779296875,50.0,35747.06179478024,SimpleBatch
3,standard,AdaShift,AdaShift,99.78166961669922,92.38999938964844,0.0058739899500624675,0.6009804517030716,7.391670227050781,50.0,47427.31019069109,SimpleBatch
4,standard,Adagrad,Adagrad,100.0,92.65999603271484,0.0005847019913071679,0.44031229615211487,7.340003967285156,50.0,42589.06592922711,SimpleBatch
5,standard,PHB 0.1 0.8,PHB,100.0,92.2699966430664,0.0002929315945878662,0.49023811519145966,7.730003356933594,50.0,52623.24481107049,SimpleBatch
6,SAM,PHB 0.1 0.8,PHB,99.65166473388672,92.8699951171875,0.00852923537111173,0.41728449165821074,6.781669616699219,50.0,14114.373850542088,SimpleBatch
7,standard,SGD 0.1,SGD,100.0,92.75999450683594,2.2612654525638295e-05,0.5520634025335311,7.2400054931640625,100.0,41903.709442305284,SimpleBatch
8,standard,Adam,Adam,99.81500244140625,92.18999481201172,0.005827958535156794,0.8989480018615723,7.625007629394531,100.0,55587.857968662094,SimpleBatch
9,standard,AdaBound,AdaBound,100.0,92.54000091552734,3.257643744448349e-05,0.5767922312021255,7.459999084472656,100.0,38991.638364028906,SimpleBatch
10,standard,AdaShift,AdaShift,99.90166473388672,92.38999938964844,0.0034768014983454004,0.7373141884803772,7.511665344238281,100.0,52564.63555471447,SimpleBatch
11,standard,Adagrad,Adagrad,100.0,92.55999755859375,0.00016614409898915865,0.4892991900444031,7.44000244140625,100.0,50803.89679128706,SimpleBatch
12,SAM,SGD 0.1,SGD,99.86000061035156,93.12999725341797,0.0037173640132274308,0.4221552908420563,6.730003356933594,100.0,12114.949759139095,SimpleBatch
13,SAM,Adam,Adam,99.79499816894531,92.75,0.005776843803012521,0.583282646536827,7.0449981689453125,100.0,18181.51342202866,SimpleBatch
14,SAM,AdaBound,AdaBound,99.84333801269531,93.12999725341797,0.0038054004534618553,0.4300830036401749,6.713340759277344,100.0,13545.270384762098,SimpleBatch
15,SAM,Adagrad,Adagrad,99.80500030517578,93.18999481201172,0.006103304509164841,0.3234640508890152,6.6150054931640625,100.0,11426.456907676633,SimpleBatch
16,standard,PHB 0.1 0.8,PHB,100.0,92.25999450683594,6.0110936943419414e-05,0.5481372982263565,7.7400054931640625,100.0,62357.62375100619,SimpleBatch
17,SAM,AdaShift,AdaShift,99.65333557128906,93.0199966430664,0.009755352006625456,0.34493526369333266,6.633338928222656,100.0,21410.886312730378,SimpleBatch
18,SAM,PHB 0.1 0.8,PHB,99.9566650390625,93.2699966430664,0.0012064062303872526,0.5670795053243637,6.686668395996094,100.0,21967.15714475693,SimpleBatch
19,standard,SGD 0.1,SGD,100.0,92.83999633789062,1.7049331157927156e-05,0.5706521034240722,7.160003662109375,150.0,44190.16976292681,SimpleBatch
20,standard,Adam,Adam,99.88999938964844,92.65999603271484,0.0034975033691579728,0.9204240679740906,7.230003356933594,150.0,58883.44105401219,SimpleBatch
21,standard,AdaBound,AdaBound,100.0,92.56999969482422,2.2129127598306088e-05,0.6070508152246475,7.430000305175781,150.0,42635.660171337855,SimpleBatch
22,standard,AdaShift,AdaShift,99.97833251953125,92.58999633789062,0.0006682659986756984,0.8385727524757385,7.388336181640625,150.0,64805.78239109537,SimpleBatch
